               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.015029,             0.13101,           0.0043494,             0.99949,             0.99972,               0.995,             0.89019,            0.012143,             0.12041,          0.00045907,           0.0006535,           0.0006535,           0.0006535
                  37,            0.015537,             0.13442,           0.0046783,             0.99991,                   1,               0.995,             0.90931,            0.010789,            0.093722,          0.00043704,           0.0006436,           0.0006436,           0.0006436
                  38,            0.015968,              0.1407,           0.0042042,             0.99765,             0.99675,             0.99488,             0.95908,           0.0082264,            0.081563,           0.0007222,           0.0006337,           0.0006337,           0.0006337
                  39,            0.015218,              0.1294,           0.0043595,             0.99991,             0.99999,               0.995,             0.90479,            0.010286,             0.10506,          0.00037893,           0.0006238,           0.0006238,           0.0006238
                  40,            0.014656,             0.12296,           0.0041815,             0.99908,             0.99934,               0.995,              0.9002,           0.0099324,             0.12603,          0.00038346,           0.0006139,           0.0006139,           0.0006139
                  41,            0.014304,             0.12278,           0.0042046,             0.95709,             0.97404,             0.97569,             0.88641,            0.009008,            0.095968,            0.008107,            0.000604,            0.000604,            0.000604
                  42,            0.014304,              0.1205,           0.0037877,             0.99992,                   1,               0.995,              0.9365,           0.0088042,             0.08785,          0.00030213,           0.0005941,           0.0005941,           0.0005941
                  43,            0.013567,             0.11529,           0.0036702,             0.99993,                   1,               0.995,             0.90121,           0.0094371,             0.11746,          0.00039186,           0.0005842,           0.0005842,           0.0005842
                  44,            0.014273,              0.1274,           0.0037744,             0.99859,             0.99883,               0.995,             0.90074,           0.0095682,            0.096341,          0.00041999,           0.0005743,           0.0005743,           0.0005743
                  45,             0.01444,             0.12306,           0.0036874,             0.99988,             0.99999,               0.995,             0.93875,           0.0071545,            0.072693,          0.00020646,           0.0005644,           0.0005644,           0.0005644
                  46,             0.01425,             0.11751,           0.0036131,             0.99322,             0.99565,               0.995,             0.91196,           0.0084879,            0.081769,          0.00098484,           0.0005545,           0.0005545,           0.0005545
                  47,             0.01341,             0.12034,           0.0036774,             0.99987,             0.99997,               0.995,             0.95451,            0.007923,            0.098119,          0.00026252,           0.0005446,           0.0005446,           0.0005446
                  48,            0.013303,             0.11301,           0.0033823,             0.99991,             0.99982,               0.995,             0.96927,           0.0066672,              0.0718,           0.0002243,           0.0005347,           0.0005347,           0.0005347
                  49,            0.013124,             0.11377,           0.0034124,              0.9999,                   1,               0.995,             0.93568,           0.0069538,            0.073273,            0.000255,           0.0005248,           0.0005248,           0.0005248
                  50,             0.01437,             0.12313,           0.0037647,             0.99994,                   1,               0.995,             0.94909,            0.007844,            0.086128,          0.00018109,           0.0005149,           0.0005149,           0.0005149
                  51,            0.014262,             0.12148,           0.0034388,             0.99227,             0.99157,             0.99458,             0.89335,            0.008894,            0.079084,           0.0012701,            0.000505,            0.000505,            0.000505
                  52,            0.013489,             0.11722,           0.0033215,             0.99936,             0.99939,               0.995,             0.91624,           0.0082594,             0.08372,          0.00042908,           0.0004951,           0.0004951,           0.0004951
                  53,            0.012914,             0.11221,           0.0033343,             0.99836,             0.99899,               0.995,             0.98793,           0.0070275,            0.068461,          0.00031393,           0.0004852,           0.0004852,           0.0004852
                  54,            0.012894,               0.114,           0.0033267,             0.99939,             0.99971,               0.995,              0.9559,           0.0060248,            0.061094,          0.00025539,           0.0004753,           0.0004753,           0.0004753
                  55,            0.013293,             0.11394,           0.0032626,              0.9994,             0.99942,               0.995,              0.9904,           0.0058064,            0.065948,          0.00027971,           0.0004654,           0.0004654,           0.0004654
                  56,             0.01399,             0.11374,           0.0035304,             0.99994,                   1,               0.995,             0.93888,           0.0063347,            0.070257,          0.00017502,           0.0004555,           0.0004555,           0.0004555
                  57,            0.012742,              0.1065,           0.0032152,             0.99994,             0.99999,               0.995,             0.98505,           0.0056963,              0.0712,          0.00019478,           0.0004456,           0.0004456,           0.0004456
                  58,            0.012596,             0.10721,           0.0029975,             0.99993,                   1,               0.995,             0.92624,           0.0065844,            0.079539,          0.00014418,           0.0004357,           0.0004357,           0.0004357
                  59,             0.01274,             0.10314,           0.0033493,             0.99137,             0.99459,             0.99433,             0.98566,           0.0051821,            0.060539,           0.0014099,           0.0004258,           0.0004258,           0.0004258
                  60,            0.012216,             0.10537,           0.0030291,             0.99993,             0.99998,               0.995,             0.98783,           0.0054721,            0.058729,          0.00011321,           0.0004159,           0.0004159,           0.0004159
                  61,            0.012569,             0.10638,           0.0031045,             0.99991,                   1,               0.995,             0.96624,           0.0059928,            0.063787,          0.00020935,            0.000406,            0.000406,            0.000406
                  62,            0.012563,             0.10715,           0.0029248,             0.99994,                   1,               0.995,             0.97915,           0.0066066,            0.068799,          0.00011325,           0.0003961,           0.0003961,           0.0003961
                  63,            0.012195,             0.10169,           0.0030962,             0.99991,                   1,               0.995,             0.97244,           0.0064334,             0.06605,          0.00019226,           0.0003862,           0.0003862,           0.0003862
                  64,               0.012,              0.1034,            0.002917,             0.99787,             0.99879,               0.995,              0.9655,           0.0060461,            0.063108,          0.00033234,           0.0003763,           0.0003763,           0.0003763
                  65,            0.013048,             0.10698,            0.003274,             0.99909,             0.99893,               0.995,              0.9815,           0.0061493,            0.066795,          0.00028703,           0.0003664,           0.0003664,           0.0003664
